emp_no,dept_no
11582,d004
11591,d004
11601,d007
11609,d001
11618,d001
11628,d005
11638,d004
11649,d005
11659,d007
11669,d004
11678,d004
11686,d004
11695,d004
11705,d002
11713,d004
11723,d007
11732,d004
11740,d007
11750,d004
11759,d009
11769,d004
11780,d005
11788,d004
11797,d004
11807,d001
11815,d004
11823,d004
11831,d005
11841,d004
11852,d001
11862,d001
11873,d004
11882,d001
11893,d001
11904,d004
11912,d007
11920,d005
11928,d008
11938,d005
11948,d009
11957,d009
11967,d006
11977,d003
11987,d009
11998,d009
12008,d005
12018,d006
12027,d005
12036,d008
12046,d007
12056,d007
12067,d008
12077,d009
12088,d005
12098,d003
12106,d007
12117,d008
12125,d006
12134,d005
12143,d009
12152,d006
12162,d009
12170,d006
12178,d003
12188,d007
12197,d009
12208,d006
12217,d008
12226,d003
12236,d008
12244,d005
12252,d009
12260,d009
12269,d005
12279,d006
12290,d008
12298,d007
12308,d008
12317,d003
12325,d009
12334,d009
12343,d005
12351,d009
12361,d005
12371,d008
12380,d009
12388,d003
12398,d005
12409,d009
12420,d008
12430,d009
12438,d007
12448,d009
12458,d009
12467,d003
12478,d005
12487,d007
12496,d003
12505,d009
12516,d007
12527,d006
12537,d009
12547,d007
12557,d003
12567,d006
12577,d007
12587,d009
12598,d003
12606,d007
12616,d003
12627,d008
12635,d003
12646,d009
12656,d005
12664,d009
12673,d009
12683,d007
12693,d009
12702,d008
12712,d003
12721,d006
12729,d006
12739,d009
12747,d003
12757,d006
12765,d009
12775,d005
12785,d009
12794,d004
12803,d009
12812,d005
12821,d008
12829,d001
12839,d007
12849,d004
12860,d005
12868,d005
12877,d008
12885,d004
12894,d009
12903,d005
12913,d008
12921,d005
12932,d006
12942,d004
12951,d009
12960,d004
12968,d006
12978,d005
12988,d009
12998,d005
13007,d008
13016,d007
13025,d009
13034,d001
13045,d007
13056,d005
13064,d006
13075,d005
13085,d009
13094,d004
13102,d009
13112,d004
13122,d006
13133,d001
13141,d007
13150,d005
13160,d008
13170,d004
13181,d006
13192,d005
13201,d008
13210,d004
13218,d006
13226,d005
13235,d008
13244,d002
13254,d007
13263,d004
13273,d005
13283,d004
13293,d005
13301,d007
13312,d009
13323,d004
13333,d005
13343,d007
13354,d009
13365,d004
13373,d006
13383,d001
13393,d007
13402,d005
13412,d008
13422,d005
13433,d008
13441,d004
13450,d005
13458,d001
13469,d007
13480,d004
13489,d005
13500,d001
13510,d009
13519,d004
13528,d005
13538,d004
13547,d006
13557,d005
13567,d006
13576,d002
13586,d003
13595,d004
13606,d009
13616,d004
13626,d005
13634,d001
13644,d007
13654,d001
13663,d007
13673,d004
13681,d005
13689,d004
13699,d009
13708,d004
13716,d009
13726,d004
13735,d008
13745,d004
13754,d005
13763,d002
13774,d003
13784,d004
13794,d006
13802,d005
13812,d008
13822,d007
13832,d009
13841,d005
13850,d008
13861,d005
13870,d008
13880,d005
13888,d008
13899,d004
13909,d005
13919,d002
13929,d003
13940,d005
13950,d008
13959,d004
13967,d006
13977,d002
13987,d003
13996,d002
14005,d003
14015,d004
14025,d006
14035,d005
14043,d008
14053,d001
14062,d003
14071,d004
14080,d006
14090,d002
14099,d003
14108,d004
14119,d009
14129,d004
14140,d009
14149,d004
14159,d009
14170,d005
14179,d008
14189,d004
14200,d006
14208,d007
14217,d009
14227,d004
14237,d005
14248,d002
14257,d003
14268,d007
14276,d009
14287,d001
14297,d007
14307,d005
14315,d006
14323,d004
14332,d008
14341,d004
14351,d005
14361,d002
14372,d003
14380,d005
14390,d008
14400,d005
14410,d008
14421,d002
14429,d003
14438,d007
14447,d009
14457,d005
14466,d008
14474,d004
14484,d006
14494,d004
14504,d009
14513,d005
14521,d008
14532,d004
14542,d005
14550,d005
14558,d008
14567,d004
14576,d008
14585,d004
14596,d005
14605,d005
14615,d006
14626,d004
14634,d005
14643,d005
14653,d008
14662,d005
14672,d006
14683,d001
14692,d009
14701,d004
14711,d009
14719,d004
14729,d006
14738,d002
14749,d007
14757,d007
14767,d009
14775,d005
14785,d008
14795,d001
14806,d007
14817,d004
14828,d009
14836,d002
14844,d003
14855,d001
14865,d007
14873,d001
14881,d003
14889,d004
14899,d008
14908,d004
14916,d006
14927,d004
14937,d006
14948,d005
14958,d008
14968,d004
14979,d006
14989,d002
14999,d003
15009,d005
15019,d006
15028,d004
15037,d006
15048,d001
15057,d007
15068,d004
15076,d009
15084,d004
15095,d005
15105,d005
15115,d009
15123,d004
15132,d006
15141,d004
15151,d005
15160,d004
15170,d009
15178,d004
15186,d009
15194,d004
15202,d005
15212,d004
15222,d008
15232,d005
15242,d006
15252,d004
15262,d006
15273,d002
15282,d007
15293,d005
15302,d008
15312,d004
15323,d006
15331,d005
15341,d008
15351,d004
15360,d006
15370,d001
15380,d007
15391,d004
15400,d006
15410,d004
15420,d008
15429,d005
15439,d009
15449,d001
15457,d007
15465,d007
15473,d009
15483,d004
15491,d005
15499,d002
15508,d003
15516,d005
15527,d008
15537,d004
15548,d005
15558,d001
15568,d009
15579,d007
15587,d009
15595,d001
15604,d007
15615,d001
15625,d007
15633,d001
15643,d009
15652,d002
15662,d003
15671,d001
15680,d009
15689,d004
15698,d009
15707,d005
15715,d006
15725,d004
15734,d009
15745,d001
15753,d009
15763,d005
15771,d008
15780,d005
15791,d009
15801,d004
15810,d006
15819,d004
15829,d005
15837,d001
15845,d007
15855,d004
15866,d009
15875,d004
15885,d005
15893,d005
15901,d008
15911,d004
15921,d005
15932,d005
15943,d006
15952,d005
15961,d008
15970,d005
15978,d009
15989,d004
15999,d006
16010,d004
16019,d005
16029,d004
16039,d009
16050,d001
16061,d009
16070,d001
16079,d007
16087,d004
16096,d009
16104,d004
16112,d009
16122,d005
16132,d008
16142,d005
16153,d008
16164,d004
16173,d009
16183,d004
16192,d005
16202,d004
16211,d006
16222,d004
16230,d009
16240,d001
16250,d007
16261,d004
16272,d006
16283,d001
16292,d009
16303,d004
16314,d009
16325,d001
16336,d007
16344,d004
16352,d006
16361,d005
16371,d008
16379,d004
16389,d006
16399,d004
16410,d006
16418,d004
16428,d005
16437,d004
16447,d009
16456,d004
16467,d005
16475,d004
16484,d006
16493,d004
16502,d009
16512,d004
16523,d006
16531,d004
16540,d006
16551,d001
16561,d007
16569,d005
16578,d009
16587,d004
16596,d009
16604,d004
16614,d006
16623,d004
16632,d009
16640,d004
16649,d009
16659,d004
16669,d009
16679,d005
16689,d006
16700,d002
16711,d003
16722,d005
16730,d006
16740,d002
16748,d003
16759,d001
16768,d007
16777,d005
16786,d008
16795,d004
16806,d009
16814,d004
16822,d009
16830,d005
16841,d008
16852,d005
16862,d008
16873,d002
16881,d003
16891,d001
16899,d007
16910,d004
16920,d009
16929,d005
16938,d008
16949,d007
16959,d009
16970,d005
16980,d008
16989,d001
16999,d007
17010,d001
17019,d007
17030,d002
17040,d007
17050,d004
17059,d005
17068,d001
17076,d003
17084,d005
17094,d008
17103,d007
17112,d009
17122,d002
17130,d003
17140,d001
17149,d007
17158,d004
17166,d009
17176,d007
17186,d009
17194,d005
17203,d006
17211,d002
17221,d003
17231,d005
17241,d008
17250,d004
17258,d006
17268,d004
17279,d009
17289,d005
17300,d008
17311,d005
17320,d008
17329,d005
17339,d008
17350,d005
17361,d009
17369,d004
17380,d008
17391,d004
17400,d005
17408,d001
17419,d007
17429,d001
17439,d007
17448,d004
17456,d005
17466,d005
17474,d008
17483,d004
17492,d005
17503,d004
17512,d008
17522,d001
17533,d007
17542,d004
17551,d006
17559,d001
17569,d007
17578,d002
17588,d003
17597,d005
17607,d008
17616,d004
17624,d005
17633,d004
17642,d005
17653,d005
17662,d008
17672,d004
17683,d009
17693,d004
17702,d006
17712,d001
17721,d007
17730,d004
17738,d005
17747,d005
17756,d008
17766,d001
17776,d009
17786,d004
17794,d006
17804,d004
17812,d009
17822,d005
17833,d009
17844,d004
17853,d009
17861,d005
17869,d008
17878,d002
17888,d003
17899,d001
17908,d007
17918,d001
17926,d009
17937,d001
17946,d007
17956,d005
17964,d008
17973,d005
17981,d008
17990,d004
17998,d009
18006,d005
18015,d009
18024,d001
18034,d007
18042,d005
18050,d009
18061,d005
18070,d008
18080,d004
18090,d006
18100,d001
18110,d009
18118,d004
18129,d008
18138,d004
18148,d009
18157,d001
18168,d003
18178,d001
18188,d003
18196,d004
18206,d006
18214,d007
18223,d009
18231,d005
18241,d008
18252,d004
18263,d006
18273,d004
18283,d005
18293,d004
18304,d005
18314,d005
18323,d008
18332,d001
18343,d007
18354,d004
18362,d005
18371,d004
18379,d006
18390,d004
18400,d006
18409,d004
18418,d005
18426,d002
18437,d003
18445,d005
18455,d009
18463,d004
18474,d005
18483,d001
18494,d003
18504,d004
18515,d005
18525,d007
18535,d009
18543,d004
18552,d008
18562,d004
18570,d006
18581,d007
18590,d009
18601,d004
18609,d005
18619,d002
18629,d003
18638,d002
18648,d007
18658,d001
18666,d007
18677,d002
18687,d007
18697,d004
18705,d005
18716,d005
18724,d008
18732,d004
18741,d006
18750,d001
18759,d007
18767,d004
18776,d006
18786,d004
18797,d005
18805,d004
18813,d009
18822,d005
18831,d008
18840,d004
18848,d005
18856,d001
18866,d007
18876,d004
18886,d005
18895,d007
18904,d009
18913,d005
18923,d008
18931,d004
18941,d009
18951,d004
18961,d006
18969,d007
18979,d009
18988,d004
18996,d005
19004,d004
19013,d005
19024,d004
19035,d006
19045,d004
19054,d009
19064,d001
19074,d007
19082,d001
19092,d007
19101,d004
19111,d006
19121,d004
19129,d009
19138,d004
19149,d005
19160,d005
19168,d006
19179,d004
19188,d006
19199,d004
19210,d006
19220,d004
19230,d006
19239,d005
19249,d008
19260,d005
19270,d008
19280,d004
19290,d009
19299,d004
19310,d009
19318,d001
19328,d009
19339,d004
19347,d009
19356,d004
19366,d005
19375,d005
19383,d008
19394,d004
19403,d005
19414,d004
19422,d006
19431,d005
19440,d008
19448,d007
19456,d009
19464,d005
19473,d008
19484,d005
19492,d006
19500,d004
19509,d008
19518,d007
19528,d009
19539,d004
19547,d009
19555,d001
19564,d007
19574,d004
19583,d009
19593,d004
19603,d009
19612,d004
19622,d009
19632,d005
19640,d008
19648,d005
19658,d008
19668,d004
19677,d009
19686,d004
19696,d005
19707,d005
19718,d008
19727,d004
19737,d005
19748,d005
19759,d008
19770,d007
19779,d009
19790,d004
19798,d006
19808,d002
19817,d003
19827,d004
19836,d006
19846,d005
19857,d008
19868,d004
19877,d005
19886,d004
19897,d006
19907,d004
19918,d005
19929,d005
19937,d009
19945,d001
19955,d009
19964,d004
19975,d006
19984,d001
19992,d009
20000,d007
20009,d009
20018,d004
20026,d006
20036,d004
20046,d006
20054,d001
20063,d007
20072,d001
20080,d007
20088,d004
20098,d005
20109,d004
20117,d006
20126,d005
20135,d008
20143,d002
20152,d007
20160,d007
20170,d009
20181,d001
20189,d009
20198,d007
20209,d009
20218,d001
20229,d009
20239,d007
20249,d009
20258,d001
20268,d009
20276,d007
20285,d009
20295,d005
20305,d008
20315,d005
20324,d008
20333,d005
20342,d009
20352,d004
20361,d009
20370,d001
20378,d003
20386,d004
20397,d008
20406,d004
20416,d006
20424,d005
20433,d008
20442,d005
20452,d009
20461,d004
20472,d006
20481,d002
20490,d007
20501,d004
20511,d006
20519,d001
20527,d007
20536,d004
20547,d005
20556,d005
20566,d008
20575,d005
20584,d008
20594,d007
20602,d009
20610,d004
20620,d006
20630,d007
20639,d009
20648,d004
20659,d006
20668,d002
20677,d007
20686,d004
20695,d009
20705,d005
20713,d008
20721,d004
20731,d005
20739,d005
20747,d008
20758,d004
20768,d009
20776,d004
20786,d006
20794,d007
20804,d009
20814,d005
20823,d006
20832,d001
20841,d009
20852,d005
20861,d006
20871,d005
20879,d008
20889,d004
20898,d009
20909,d004
20918,d009
20926,d001
20935,d007
20945,d004
20955,d006
20965,d001
20974,d007
20983,d001
20993,d009
21003,d005
21012,d008
21022,d004
21030,d006
21040,d004
21049,d006
21058,d004
21067,d009
21076,d001
21087,d009
21097,d004
21108,d006
21116,d007
21125,d009
21133,d001
21141,d007
21150,d004
21158,d009
21167,d004
21175,d008
21184,d002
21192,d003
21200,d001
21209,d007
21219,d001
21228,d007
21237,d004
21247,d005
21256,d005
21266,d008
21275,d004
21283,d005
21294,d005
21303,d008
21311,d004
21321,d006
21329,d005
21339,d008
21348,d005
21356,d008
21364,d005
21372,d008
21382,d005
21391,d008
21401,d004
21411,d009
21421,d004
21430,d006
21439,d005
21450,d006
21460,d001
21470,d007
21479,d004
21488,d009
21498,d004
21508,d009
21517,d001
21526,d007
21537,d004
21546,d009
21555,d001
21564,d003
